,TypeName,make,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
262,SL 600,Mercedes-Benz,SL 600,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,4,2004,Benzin,600,null,23000,Ab MFK,2,Automat,Bordeaux,14.4,l/100km
263,170V B Cabrio 136,Mercedes-Benz,null,Coupé,1697,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,7,1939,Benzin,38,schwarz,1,null,4,Schaltgetriebe,Bordeaux,null,
264,S 500,Mercedes-Benz,S 500,Limousine,5461,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,4,Hinterradantrieb,11,2005,Benzin,388,null,128000,Ab MFK,5,Automat sequentiell,Bordeaux,12.2,l/100km
265,RS6 Avant 5.0 V10 quattro,Audi,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,7,2008,Benzin,580,null,25400,Ab MFK,5,Automat sequentiell,Anthracite,14.0,l/100km
266,SL 55 AMG,Mercedes-Benz,SL 55 AMG,Cabriolet,5439,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,2,Hinterradantrieb,3,2006,Benzin,517,schwarz,47000,Ab MFK,2,Automat sequentiell,Anthracite,13.5,l/100km
267,911 Turbo S Cabrio,Porsche,911,Cabriolet,3800,Zuzwil,231 g/km,Neu,G,9.9 l/100km,2,Allrad,5,2014,Benzin,560,schwarz,450,Ab MFK,4,Automatisiertes Schaltgetriebe,Bordeaux,9.9,l/100km
268,SL 300,Mercedes-Benz,SL 300,Cabriolet,2959,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1993,Benzin,231,schwarz,63600,Ab MFK,2,Automat,Bordeaux,null,
269,S 500,Mercedes-Benz,S 500,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,5,2000,Benzin,306,schwarz,99900,Ab MFK,5,Automat,Bordeaux,13.4,l/100km
270,A8 4.2 quattro,Audi,A8,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,4,2004,Benzin,335,grau,60000,Ab MFK,5,Automat sequentiell,Bordeaux,12.0,l/100km
271,850 Spider,Fiat,null,Coupé,843,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,1970,Benzin,49,schwarz,9999,null,0,Schaltgetriebe,Bordeaux,null,
272,F360 Modena Berlinetta,Ferrari,F360,Coupé,3586,Zuzwil,440 g/km,Occasion,null,19.3 l/100km,2,Hinterradantrieb,8,1999,Benzin,400,null,30300,Ab MFK,2,Automatik-Getriebe,Bordeaux,19.3,l/100km
273,T 2,Bentley,null,Limousine,6744,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,2,1979,Benzin,196,mehrfarbig,175100,Ab MFK,5,Automatik-Getriebe,Bordeaux,null,
274,E 55 AMG Avantgarde,Mercedes-Benz,E 55 AMG,Limousine,5439,Zuzwil,301 g/km,Occasion,null,12.6 l/100km,4,Hinterradantrieb,10,1997,Benzin,354,null,67400,Ab MFK,5,Automat,Bordeaux,12.6,l/100km
275,M3,BMW,M3,Cabriolet,3246,Zuzwil,292 g/km,Occasion,G,12.1 l/100km,2,Hinterradantrieb,3,2001,Benzin,343,braun,46000,Ab MFK,4,Schaltgetriebe manuell,Bordeaux,12.1,l/100km
276,A6 Avant 2.7 T q.Ambiente,Audi,A6,Kombi,2671,Zuzwil,283 g/km,Occasion,null,11.8 l/100km,5,Allrad,9,1999,Benzin,230,beige,171700,Ab MFK,5,Automatik-Getriebe,Bordeaux,11.8,l/100km
277,RS6 Avant quattro,Audi,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,7,2003,Benzin,450,schwarz,27900,Ab MFK,5,Automat sequentiell,Anthracite,14.6,l/100km
278,F430,Ferrari,F430,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,6,2005,Benzin,486,schwarz,29300,Ab MFK,2,Automatik-Getriebe,Bordeaux,18.3,l/100km
279,Quattroporte 4.2 Sport GT,Maserati,QUATTROPORTE,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,4,2008,Benzin,400,schwarz,80000,Ab MFK,5,Automatisiertes Schaltgetriebe,Brown,15.8,l/100km
280,Z4 2.5i Roadster,BMW,Z4,Cabriolet,2497,Zuzwil,197 g/km,Occasion,G,8.2 l/100km,2,Hinterradantrieb,9,2008,Benzin,177,schwarz,22800,Ab MFK,2,Schaltgetriebe manuell,Brown,8.2,l/100km
281,328i,BMW,328,Limousine,2793,Zuzwil,241 g/km,Occasion,null,10.1 l/100km,4,Hinterradantrieb,4,1998,Benzin,193,beige,33700,Ab MFK,5,Automat,Brown,10.1,l/100km
